SN 1990T,0.0400,36.38,0.19,gold,,
SN 1990af,0.050,36.84,0.21,gold,,
SN 1990O,0.0307,35.90,0.20,gold,,
SN 1991S,0.0560,37.31,0.18,gold,,
SN 1991U,0.0331,35.54,0.20,gold,,
SN 1991ag,0.0141,34.13,0.25,gold,,
SN 1992J,0.0460,36.35,0.21,gold,,
SN 1992P,0.0265,35.64,0.20,gold,,
SN 1992aq,0.101,38.73,0.20,gold,,
SN 1992ae,0.075,37.77,0.19,gold,,
SN 1992au,0.061,37.30,0.22,gold,,
SN 1992al,0.0141,34.12,0.25,gold,,
SN 1992ag,0.0262,35.06,0.24,gold,,
SN 1992bl,0.0430,36.53,0.19,gold,,
SN 1992bh,0.0450,36.97,0.18,gold,,
SN 1992bg,0.036,36.17,0.19,gold,,
SN 1992bk,0.058,37.13,0.19,gold,,
SN 1992bs,0.063,37.67,0.19,gold,,
SN 1992bc,0.0186,34.96,0.22,gold,,
SN 1992bp,0.079,37.94,0.18,gold,,
SN 1992br,0.088,38.07,0.28,gold,,
SN 1992bo,0.0178,34.70,0.23,gold,,
SN 1993B,0.071,37.78,0.19,gold,,
SN 1993H,0.0251,35.09,0.21,gold,,
SN 1993O,0.052,37.16,0.18,gold,,
SN 1993ah,0.0286,35.53,0.21,gold,,
SN 1993ac,0.0490,36.90,0.20,gold,,
SN 1993ag,0.050,37.08,0.19,gold,,
SN 1993ae,0.0180,34.29,0.23,gold,,
SN 1994B,0.089,38.50,0.17,silver,,
SN 1994C,0.051,36.67,0.16,silver,,
SN 1994M,0.0244,35.09,0.20,gold,,
SN 1994Q,0.0290,35.70,0.19,gold,,
SN 1994S,0.0161,34.50,0.24,gold,,
SN 1994T,0.0360,36.01,0.20,gold,,
SN 1995E,0.0116,32.96,0.29,silver,,
SN 1995K,0.478,42.48,0.23,gold,,
SN 1995M,0.053,37.17,0.15,silver,,
SN 1995ap,0.230,40.44,0.46,silver,,
SN 1995ao,0.300,40.76,0.60,silver,,
SN 1995ae,0.067,37.54,0.34,silver,,
SN 1995az,0.450,42.13,0.21,gold,,
SN 1995ay,0.480,42.37,0.20,gold,,
SN 1995ax,0.615,42.85,0.23,gold,,
SN 1995aw,0.400,42.04,0.19,gold,,
SN 1995as,0.498,43.21,0.24,silver,,
SN 1995ar,0.465,42.81,0.22,silver,,
SN 1995ac,0.0490,36.52,0.20,gold,,
SN 1995ak,0.0219,34.70,0.22,gold,,
SN 1995ba,0.3880,42.07,0.19,gold,,
SN 1995bd,0.0152,34.11,0.25,gold,,
SN 1996C,0.0276,35.90,0.20,gold,,
SN 1996E,0.425,41.70,0.40,gold,,
SN 1996H,0.620,43.11,0.30,gold,,
SN 1996I,0.570,42.81,0.25,gold,,
SN 1996J,0.300,41.01,0.25,gold,,
SN 1996K,0.380,42.02,0.22,gold,,
SN 1996R,0.160,39.08,0.40,silver,,
SN 1996T,0.240,40.68,0.43,silver,,
SN 1996U,0.430,42.33,0.34,gold,,
SN 1996V,0.0247,35.33,0.25,silver,,
SN 1996ab,0.124,39.20,0.22,gold,,
SN 1996bo,0.0165,33.82,0.27,gold,,
SN 1996bv,0.0167,34.21,0.23,gold,,
SN 1996bl,0.0348,36.17,0.19,gold,,
SN 1996cg,0.490,42.58,0.19,silver,,
SN 1996cm,0.450,42.58,0.19,silver,,
SN 1996cl,0.828,43.96,0.46,gold,,
SN 1996ci,0.495,42.25,0.19,gold,,
SN 1996cf,0.570,42.77,0.19,silver,,
SN 1997E,0.0132,34.02,0.26,gold,,
SN 1997F,0.580,43.04,0.21,gold,,
SN 1997H,0.526,42.56,0.18,gold,,
SN 1997I,0.172,39.79,0.18,gold,,
SN 1997N,0.180,39.98,0.18,gold,,
SN 1997P,0.472,42.46,0.19,gold,,
SN 1997Q,0.430,41.99,0.18,gold,,
SN 1997R,0.657,43.27,0.20,gold,,
SN 1997Y,0.0166,34.54,0.23,gold,,
SN 1997ai,0.450,42.10,0.23,gold,,
SN 1997ac,0.320,41.45,0.18,gold,,
SN 1997aj,0.581,42.63,0.19,gold,,
SN 1997aw,0.440,42.57,0.40,gold,,
SN 1997as,0.508,41.64,0.35,gold,,
SN 1997am,0.416,42.10,0.19,gold,,
SN 1997ap,0.830,43.85,0.19,gold,,
SN 1997af,0.579,42.86,0.19,gold,,
SN 1997bh,0.420,41.76,0.23,gold,,
SN 1997bb,0.518,42.83,0.30,gold,,
SN 1997bj,0.334,40.92,0.30,gold,,
SN 1997ck,0.970,44.13,0.38,silver,,
SN 1997cn,0.0175,34.52,0.25,gold,,
SN 1997cj,0.500,42.74,0.20,gold,,
SN 1997ce,0.440,42.08,0.19,gold,,
SN 1997dg,0.0297,36.12,0.20,gold,,
SN 1997do,0.0104,33.73,0.33,gold,,
SN 1997ez,0.778,43.81,0.35,gold,,
SN 1997ek,0.860,44.03,0.30,gold,,
SN 1997eq,0.538,42.66,0.18,gold,,
SN 1997ff,1.755,45.53,0.35,gold,Yes,
SN 1998I,0.886,42.91,0.81,gold,,
SN 1998J,0.828,43.61,0.61,gold,,
SN 1998M,0.630,42.62,0.24,gold,,
SN 1998V,0.0170,34.47,0.23,gold,,
SN 1998ac,0.460,41.83,0.40,gold,,
SN 1998ay,0.638,43.30,0.36,silver,,
SN 1998bi,0.740,43.35,0.30,gold,,
SN 1998be,0.644,42.78,0.26,silver,,
SN 1998ba,0.430,42.36,0.25,gold,,
SN 1998bp,0.0104,33.21,0.32,gold,,
SN 1998co,0.0171,34.68,0.24,gold,,
SN 1998cs,0.0327,36.08,0.19,gold,,
SN 1998dx,0.053,36.97,0.18,gold,,
SN 1998ef,0.0170,34.18,0.23,gold,,
SN 1998eg,0.0234,35.36,0.20,gold,,
SN 1999Q,0.460,42.56,0.27,gold,,
SN 1999U,0.500,42.75,0.19,gold,,
SN 1999X,0.0257,35.41,0.20,gold,,
SN 1999aa,0.0157,34.58,0.24,gold,,
SN 1999cc,0.0316,35.85,0.19,gold,,
SN 1999cp,0.0104,33.56,0.31,gold,,
SN 1999da,0.0121,34.05,0.32,silver,,
SN 1999dk,0.0141,34.43,0.26,gold,,
SN 1999dq,0.0136,33.73,0.26,gold,,
SN 1999ef,0.0380,36.67,0.18,gold,,
SN 1999fw,0.278,41.00,0.41,gold,,
SN 1999fk,1.056,44.25,0.23,gold,,
SN 1999fm,0.949,43.99,0.25,gold,,
SN 1999fj,0.815,43.76,0.33,gold,,
SN 1999ff,0.455,42.29,0.28,gold,,
SN 1999fv,1.19,44.19,0.34,gold,,
SN 1999fh,0.369,41.62,0.31,silver,,
SN 1999fn,0.477,42.38,0.21,gold,,
SN 1999gp,0.0260,35.62,0.20,gold,,
SN 2000B,0.0193,34.59,0.23,gold,,
SN 2000bk,0.0266,35.36,0.21,gold,,
SN 2000cf,0.0360,36.39,0.18,gold,,
SN 2000cn,0.0233,35.14,0.21,gold,,
SN 2000ce,0.0164,34.47,0.23,silver,,
SN 2000dk,0.0164,34.41,0.24,gold,,
SN 2000dz,0.500,42.75,0.24,gold,,
SN 2000eh,0.490,42.41,0.25,gold,,
SN 2000ee,0.470,42.74,0.23,gold,,
SN 2000eg,0.540,41.96,0.41,gold,,
SN 2000ea,0.420,40.79,0.32,silver,,
SN 2000ec,0.470,42.77,0.21,gold,,
SN 2000fr,0.543,42.68,0.19,gold,,
SN 2000fa,0.0218,35.06,0.21,gold,,
SN 2001V,0.0162,34.13,0.23,gold,,
SN 2001fs,0.873,43.75,0.38,gold,,
SN 2001fo,0.771,43.12,0.17,gold,,
SN 2001hy,0.811,43.97,0.35,gold,,
SN 2001hx,0.798,43.88,0.31,gold,,
SN 2001hs,0.832,43.55,0.29,gold,,
SN 2001hu,0.882,43.90,0.30,gold,,
SN 2001iw,0.340,40.71,0.27,gold,,
SN 2001iv,0.397,40.89,0.30,gold,,
SN 2001iy,0.570,42.88,0.31,gold,,
SN 2001ix,0.710,43.05,0.32,gold,,
SN 2001jp,0.528,42.77,0.25,gold,,
SN 2001jh,0.884,44.23,0.19,gold,,
SN 2001jb,0.698,43.33,0.32,silver,,
SN 2001jf,0.815,44.09,0.28,gold,,
SN 2001jm,0.977,43.91,0.26,gold,,
SN 2001kd,0.935,43.99,0.38,silver,,
SN 2002P,0.719,43.22,0.26,silver,,
SN 2002ab,0.422,42.02,0.17,silver,,
SN 2002ad,0.514,42.39,0.27,silver,,
SN 2002dc,0.475,42.14,0.19,gold,,
SN 2002dd,0.95,44.06,0.26,gold,,
SN 2002fw,1.30,45.27,0.19,gold,Yes,
SN 2002fx,1.40,45.09,0.45,silver,Yes,
SN 2002hr,0.526,43.01,0.27,gold,Yes,
SN 2002hp,1.305,44.70,0.22,gold,Yes,
SN 2002kc,0.216,40.33,0.18,silver,Yes,
SN 2002kd,0.735,43.09,0.19,gold,Yes,
SN 2002ki,1.140,44.84,0.30,gold,Yes,
SN 2003az,1.265,45.20,0.20,gold,Yes,
SN 2003ak,1.551,45.30,0.22,gold,Yes,
SN 2003bd,0.67,43.19,0.28,gold,Yes,
SN 2003be,0.64,43.07,0.21,gold,Yes,
SN 2003dy,1.340,45.05,0.25,gold,Yes,
SN 2003es,0.954,44.28,0.31,gold,Yes,
SN 2003eq,0.839,43.86,0.22,gold,Yes,
SN 2003eb,0.899,43.64,0.25,gold,Yes,
SN 2003lv,0.94,43.87,0.20,gold,Yes,
